title,abstract,domain,year
Real-Time Ambulance Routing System Using Traffic Data,"A real-time ambulance routing system is an intelligent emergency response solution designed to minimize response time and improve patient survival rates. The system continuously collects live traffic information from GPS devices, traffic sensors, cameras, and online traffic APIs to identify congestion levels and road conditions, dynamically calculating the fastest route for ambulances. Routing decisions are updated in real time to handle unexpected traffic jams, roadblocks, or accidents, with priority signaling enabled at traffic junctions. A centralized monitoring platform allows emergency control centers to track ambulance locations and estimated arrival times.",IoT,0
Expense Tracker System,"The Expense Tracker System is a user-friendly software application designed to help individuals effectively record, manage, and analyze their daily financial transactions. Users can easily log expenses with key details such as date, amount, category, and description, with support for adding, updating, and deleting records. The system generates detailed expense reports on a daily, monthly, and yearly basis to help users analyze spending patterns and identify areas for reduction. It aims to simplify money management, improve financial awareness, and encourage disciplined spending.",Web,0
Web-Based Online Offers and Price Comparison System,"Many online shoppers waste time checking multiple platforms like Amazon and Flipkart separately for the best deals on the same product. This project develops a web-based system that aggregates prices, discounts, and offers from multiple online platforms into a single application, allowing users to easily compare and choose the best deal. Users can set desired price alerts and receive notifications via email or browser when prices drop or new offers become available. The application includes user login, product search, offer display, price comparison, and notification features.",Web,0
Analysis and Visualization of Invisible Work in Software Development Teams,"In software development teams, a large portion of developer effort—such as helping teammates, debugging, reviewing code, and handling production problems—is not captured by traditional productivity metrics like commits or story points. This project proposes an Invisible Work Analytics System that collects data through daily activity logs where developers classify tasks as visible or invisible work, and automatically generates dashboards using Python-based data processing and visualization. Custom metrics including the Invisible Work Ratio (IWR), Productivity Illusion Index (PII), and Burnout Correlation Score are introduced. The results highlight the gap between perceived productivity and actual developer effort, supporting fairer performance evaluation.",Data Science,0
Conversational Smart Notebook,"Conversational Smart Notebook is an AI-based learning assistant that enables users to interact with uploaded PDF documents through natural, continuous conversations. The system allows learners to ask questions, clarify concepts, and discuss document content while ensuring responses are strictly grounded in the uploaded PDF. It also acts as an intelligent tutor by identifying incorrect statements or misconceptions made by the user during the conversation, providing polite corrections with references to relevant document sections. This interactive correction mechanism enhances conceptual understanding and supports effective academic learning.",AI / ML,0
Farm-to-Home: Direct Farmer to Customer E-Commerce Application,"This project focuses on designing a Farm-to-Home E-Commerce Application that connects farmers directly with customers for the sale of fresh products such as vegetables, fruits, and dairy items. The main objective is to eliminate middlemen from the supply chain so that farmers receive fair prices while customers get fresh items at affordable rates. Farmers can register, upload product details, and manage orders, while customers can browse products, place orders, make secure payments, and track deliveries. The system uses basic data analysis to study customer demand and sales trends, helping farmers plan production more effectively.",Web,0
Real-Time Phishing Website Screenshot Classifier,"The Real-Time Phishing Website Screenshot Classifier is an AI-based cybersecurity system designed to detect phishing websites by analyzing their visual appearance using screenshots of live webpages rather than URLs or blacklists. The system captures a real-time screenshot of a website through an automated browser and processes it via a deep learning model trained on both phishing and legitimate webpage images. The model learns visual indicators such as fake login forms, brand logo misuse, and inconsistent UI elements to classify a webpage as phishing or legitimate with a confidence score. This visual-based approach improves resistance to modern phishing techniques such as URL obfuscation and dynamically generated websites.",Cybersecurity,0
Hospital OPD Peak Hour Analyzer,"Hospitals often experience heavy patient flow during certain hours, leading to long waiting times and overcrowding in Outpatient Departments (OPDs). The Hospital OPD Peak Hour Analyzer aims to identify peak and non-peak hours by analyzing real-time OPD visit data, collecting patient entry details such as date, time, and department, and grouping data into hourly intervals. By comparing patient counts, the project determines the busiest hours of operation to help management optimize staff allocation, improve patient flow, and reduce waiting times. Results are displayed in tabular or graphical form, providing a practical and efficient solution for improving OPD management using data analysis.",Healthcare,0
Smart Waste Management System,"Rapid urbanization places significant pressure on municipal solid waste management systems, with collection and disposal processes in many cities remaining inefficient, largely manual, and poorly monitored. This project proposes a Smart Waste Management System that improves efficiency and sustainability of waste collection through field-based data collection and data analytics. The system gathers real-time information from households and institutional areas regarding waste type, quantity, segregation practices, and collection frequency, and applies analytical techniques to identify waste generation patterns, high-risk overflow zones, and collection inefficiencies. An administrative dashboard provides insights to support optimized collection planning and better resource utilization.",Data Science,0
Procrastination Pattern Detection in Students Using Data Science,"Procrastination is a common behavior among students that negatively affects academic performance and overall productivity. This project uses data science techniques to detect procrastination patterns by collecting data related to students' daily habits such as study hours, mobile screen time, sleep duration, and task completion behavior. The collected data is analyzed to identify relationships between these factors and procrastination tendencies, and students are classified into low, medium, or high procrastination levels. This approach helps students and mentors gain insights into behavioral patterns and supports better academic planning and self-improvement.",Data Science,0
QR Based Document Verification System,"In the digital era, verification of academic and official documents has become critical due to the rapid increase in document forgery and duplication, while traditional verification methods are time-consuming and error-prone. The QR Based Document Verification System proposes a secure and reliable way to verify documents using QR code technology, generating a unique QR code for each document at the time of issue containing encrypted information or a secure reference ID linked to a centralized database. When the QR code is scanned using a mobile device, the system fetches the corresponding document details and verifies its authenticity in real time. This approach reduces fraud, saves time, and improves trust among institutions, employers, and verification authorities.",Cybersecurity,0
Web-based College Bus Tracking System,"Managing transportation efficiently in large college campuses and ensuring timely bus availability for students is a significant challenge. This project presents a Web-based College Bus Tracking System that enables real-time monitoring and management of college buses, allowing students and administrators to track bus locations, view routes, and monitor arrival times through a centralized platform. The system supports role-based access for administrators, drivers, and students, ensuring controlled access and operational transparency. By integrating GPS-based tracking and route management, the system improves transportation reliability, reduces waiting time, and enhances safety for students.",IoT,0
Online Internship Project Portal,"An Online Internship Project Portal is a web-based application designed to simplify and automate the management of internships and academic projects for educational institutions and organizations. Traditional internship management systems rely heavily on manual processes, leading to inefficiencies and difficulty in tracking student progress. This portal provides a centralized platform where students can register, apply for internships, and submit project work digitally, while organizations and mentors can post opportunities, assign projects, and monitor student performance. Role-based access, real-time tracking, and structured workflows enhance communication, improve transparency, and ensure effective internship management.",Web,0
Daily-Wage Workers and Free Advisor,"In urban and semi-urban areas, people frequently face difficulty finding reliable daily-wage service workers such as plumbers and electricians, with lack of transparency in labour charges leading to overcharging and mistrust. This project proposes a real-time web-based application that enables users to book daily-wage workers based on availability and service requirements, with a key feature being the inclusion of free expert advisors who provide preliminary cost, material, and time estimations before confirming a booking. The platform includes multiple user roles such as customers, workers, advisors, and administrators to ensure smooth operation, verification, and transparency. The system is developed using Java, Spring Boot, and MySQL, providing a scalable and user-friendly solution that improves trust and accessibility in service booking.",Web,0
Face Recognition Attendance System,"The Face Recognition-Based Attendance System is an automated solution designed to record attendance accurately and efficiently using facial recognition technology, overcoming limitations of traditional manual methods such as proxy attendance and data manipulation. The system captures real-time images through a camera and compares them with pre-stored facial data using image processing and machine learning algorithms, automatically marking attendance in the database with date and time details once a face is recognized. This reduces human intervention, saves time, and improves reliability. The proposed system is user-friendly, secure, and scalable, suitable for schools, colleges, and organizations.",AI / ML,0
Real-Time Local Distress Detection and Silent Help Signal System,"In emergency situations such as harassment, medical discomfort, or panic attacks, victims may not be able to call for help verbally or access mobile applications. This project proposes a real-time local distress detection and silent help signal system that allows individuals to request assistance discreetly. The system monitors predefined patterns such as repeated button presses, abnormal motion, or gesture sequences using smartphone or wearable sensors, and once a distress pattern is detected, triggers local alerts like vibration signals or notifications to nearby trusted devices without requiring internet connectivity. This ensures fast and reliable assistance during critical moments.",IoT,0
Women Alert System,"The Women Alert System is a simple and innovative safety application designed to help women in emergency situations by providing quick assistance with a single action. The system works by triggering an alert message when the user presses an emergency button, sending the user's basic information and current location to registered emergency contacts such as family members or friends. The project focuses on ease of use and quick response, making it suitable for daily safety needs. This system enhances personal safety and helps in reducing response time during critical situations.",IoT,0
My Campus Companion,"My Campus Companion is an integrated campus management and student support system designed to enhance communication, accessibility, and efficiency within an educational institution. It provides a single digital platform connecting students, faculty, and administrators while simplifying day-to-day academic and campus activities. The system includes a Smart Attendance module, a Marks Analysis module for performance insights, an Event Management and Clubs Activity module, a Campus Map and Utilities module, and a Faculty and Department Information module. Additionally, a Campus Safety Alert module ensures student safety by enabling broadcast of emergency notifications and important alerts in real time.",Web,0
Toxic Speech Detection in Messenger Website Using ML,"The rapid growth of social media and messaging platforms has increased the spread of toxic and harmful content online. This project presents a web-based messenger application integrated with a toxic speech detection system that monitors messages in real time and automatically classifies them as Toxic or Non-Toxic using Machine Learning techniques. The system analyzes messages to identify toxic or hate speech and takes appropriate actions such as warning the sender or blocking message delivery. By preventing harmful content before it reaches the receiver, the system aims to encourage respectful and healthy online communication suitable for kids and professionals alike.",AI / ML,0
Student Performance Analysis System,"Monitoring and improving student academic performance has become a major concern in educational institutions, with traditional evaluation methods failing to identify learning gaps at an early stage. This project proposes a Student Performance Analysis System that analyzes student academic data including attendance, internal marks, assignment scores, and exam results using machine learning techniques to predict performance and identify students at risk of poor academic outcomes. The system also provides personalized recommendations and performance reports to help students and educators take corrective actions at an early stage. Experimental results show that the proposed system improves prediction accuracy, enhances academic monitoring, and supports data-driven decision-making.",AI / ML,0
Fake News Analysis System,"The rapid growth of social media and online news platforms has led to widespread circulation of fake news that can influence public opinion and reduce trust in digital media. This project proposes a Fake News Analysis System that analyzes online news content using machine learning and natural language processing techniques to classify news articles as real or fake. The system processes textual data, extracts meaningful features, and helps users identify trustworthy information, reducing the spread of misinformation. It aims to support informed decision-making and improve digital media literacy.",AI / ML,0
Online Trend Life Cycle Analyzer,"Online platforms continuously generate large volumes of dynamic content that reflect changing public interests and collective behavior in real time, often manifesting as trends that rise, gain attention, and eventually decline. The Online Trend Life Cycle Analyzer project focuses on systematically studying the evolution of online trends by identifying their distinct phases including emergence, growth, peak, and decline, using quantitative parameters such as frequency variation, rate of growth, and interaction intensity. The project involves temporal analysis of trend-related data to model characteristic life cycle patterns and organize observations into structured analytical models with visual representations. It also includes sentiment analysis to evaluate public sentiment for each trend.",Data Science,0
Customer Trust Score System for Online Seller,"With the rapid growth of e-commerce platforms, concerns regarding trust, fraud, fake reviews, and unreliable sellers have become critical challenges in the digital marketplace. The Customer Trust Score System for Online Sellers is designed to evaluate and quantify the trustworthiness of sellers based on multiple parameters such as customer feedback, transaction history, delivery performance, return rates, complaint resolution, and behavioral patterns. By applying data analysis and machine learning techniques, the system generates a numerical trust score that helps customers make informed purchasing decisions and encourages sellers to maintain high service standards. This project aims to promote transparency, reduce fraudulent activities, and improve overall customer satisfaction.",AI / ML,0
Digital Image Forgery Detection Using Deep Learning,"Digital images are a main source of shared information in social media and malicious software can forge such images for fake information, making it crucial to identify these forgeries. This paper proposes an approach to enhance digital image forgery detection using deep learning techniques via transfer learning to uncover two types of image forgery simultaneously. The proposed technique relies on discovering the compressed quality difference between the forged area and the rest of the image, calculating the difference between the original image and its compressed version to produce a featured image as input to a pre-trained model. Experimental results show that applying the technique with eight different pre-trained models outperforms state-of-the-art methods, with MobileNetV2 achieving the highest detection accuracy of around 95%.",AI / ML,0
Calorie Aware Food Monitoring System for Healthy Living,"Unhealthy eating habits and lack of awareness about calorie intake have become major causes of lifestyle-related diseases such as obesity, diabetes, and heart problems. This paper proposes a Calorie Aware Food Monitoring System that enables users to track their food intake and estimate calorie values accurately, either through manual input or image-based food recognition techniques, using a nutritional database to calculate total caloric intake. The system uses machine learning techniques to classify food items, provides alerts and recommendations when users exceed recommended calorie limits, and offers real-time monitoring with improved user awareness. Experimental results show accurate calorie estimation that encourages healthier eating habits and supports long-term wellness goals.",AI / ML,0
Automated Credit Card Fraud Detection System,"Credit card fraud has become a major concern due to the rapid growth of online and digital transactions, making manual detection of fraudulent transactions difficult and time-consuming. This project proposes a Credit Card Fraud Detection System using machine learning techniques to identify suspicious transactions accurately and efficiently by analyzing historical transaction data and learning patterns that distinguish genuine transactions from fraudulent ones. Features such as transaction amount, time, and user behavior are used to train the model, which predicts whether a new transaction is legitimate or fraudulent in real time. This approach helps financial institutions reduce monetary loss, improve transaction security, and protect customers from unauthorized card usage.",Cybersecurity,0
AyurCare – Ayurvedic Quality Tracking Platform,"AyurCare is a full-stack web and mobile application for the Ayurvedic product supply chain that improves transparency and quality monitoring from farmers to consumers. Farmers can register crops, manufacturers can record processing details, and consumers can verify product authenticity using QR code scanning. The platform maintains structured records for cultivation, harvesting, storage, processing, and distribution, ensuring effective quality control across every stage of the supply chain. Manual paperwork is eliminated through digital and real-time tracking, improving trust, efficiency, and sustainable growth in the Ayurvedic industry.",Web,0
CosmoCycle – A Resale Marketplace for Cosmetics,"CosmoCycle is a web-based platform designed to address the growing problem of cosmetic product wastage caused by unsuitable purchases and near-expiry items, enabling users to resell unused or partially used cosmetics at reduced prices. The system allows sellers to upload details of unused, lightly used, or nearly expiring cosmetic products along with images, usage status, and expiry dates, while buyers can browse products, compare prices, and negotiate with sellers through a bargaining feature. By focusing exclusively on cosmetics, the platform ensures category-specific trust, hygiene transparency, and a safe resale environment. A user rating and trust system with ratings and reviews further ensures reliability and safety.",Web,0
Online Complaint Management System,"The Online Complaint Management System is a web-based application designed to simplify and automate the process of registering, tracking, and resolving complaints in real time, particularly useful in environments such as colleges, hostels, apartments, and offices. The system allows users to register and log in securely, submit complaints under specific categories, and track the status of their complaints, while administrators can view all submitted complaints, update their status, and ensure timely resolution. Developed using HTML, CSS, JavaScript, PHP/Python (Flask)/Java, and MySQL, the system digitizes complaint handling, reduces paperwork, and improves transparency. It provides an efficient, user-friendly, and reliable solution for effective complaint management.",Web,0
Resume Designer,"The Real-Time Resume Designer is a web-based application that helps users create professional resumes quickly and easily by entering personal details, educational qualifications, skills, projects, and experience through a simple interface. As users fill in the information, the resume is generated instantly in a well-structured and visually appealing format with multiple templates and formatting options. Users can preview their resume in real time and download it in standard formats such as PDF or DOC. This project is useful for students, freshers, and professionals who want to design resumes without advanced technical or design skills.",Web,0
